Opponent A,Opponent B,Round_1_Sig_Strikes_Attempted_(A),Round_1_Sig_Strikes_Landed_(A),Round_1_KD_(A),Round_1_TD_(A),Round_1_Sub_Attempts_(A),Round_1_Ctrl_Time_(A),Round_1_Head_Strikes_(A),Round_2_Sig_Strikes_Attempted_(A),Round_2_Sig_Strikes_Landed_(A),Round_2_KD_(A),Round_2_TD_(A),Round_2_Sub_Attempts_(A),Round_2_Ctrl_Time_(A),Round_2_Head_Strikes_(A),Round_3_Sig_Strikes_Attempted_(A),Round_3_Sig_Strikes_Landed_(A),Round_3_KD_(A),Round_3_TD_(A),Round_3_Sub_Attempts_(A),Round_3_Ctrl_Time_(A),Round_3_Head_Strikes_(A),Round_4_Sig_Strikes_Attempted_(A),Round_4_Sig_Strikes_Landed_(A),Round_4_KD_(A),Round_4_TD_(A),Round_4_Sub_Attempts_(A),Round_4_Ctrl_Time_(A),Round_4_Head_Strikes_(A),Round_5_Sig_Strikes_Attempted_(A),Round_5_Sig_Strikes_Landed_(A),Round_5_KD_(A),Round_5_TD_(A),Round_5_Sub_Attempts_(A),Round_5_Ctrl_Time_(A),Round_5_Head_Strikes_(A),Round_1_Sig_Strikes_Attempted_(B),Round_1_Sig_Strikes_Landed_(B),Round_1_KD_(B),Round_1_TD_(B),Round_1_Sub_Attempts_(B),Round_1_Ctrl_Time_(B),Round_1_Head_Strikes_(B),Round_2_Sig_Strikes_Attempted_(B),Round_2_Sig_Strikes_Landed_(B),Round_2_KD_(B),Round_2_TD_(B),Round_2_Sub_Attempts_(B),Round_2_Ctrl_Time_(B),Round_2_Head_Strikes_(B),Round_3_Sig_Strikes_Attempted_(B),Round_3_Sig_Strikes_Landed_(B),Round_3_KD_(B),Round_3_TD_(B),Round_3_Sub_Attempts_(B),Round_3_Ctrl_Time_(B),Round_3_Head_Strikes_(B),Round_4_Sig_Strikes_Attempted_(B),Round_4_Sig_Strikes_Landed_(B),Round_4_KD_(B),Round_4_TD_(B),Round_4_Sub_Attempts_(B),Round_4_Ctrl_Time_(B),Round_4_Head_Strikes_(B),Round_5_Sig_Strikes_Attempted_(B),Round_5_Sig_Strikes_Landed_(B),Round_5_KD_(B),Round_5_TD_(B),Round_5_Sub_Attempts_(B),Round_5_Ctrl_Time_(B),Round_5_Head_Strikes_(B),Decision1,Decision1B,Decision2,Decision2B,Decision3,Decision3B
Tanner Boser,Ilir Latifi,28,8,0,0,0,0:20,6,71,34,0,0,0,0:22,25,6,3,0,0,0,0:00,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,1,0,1,0,2:03,1,21,6,0,0,0,0:21,5,5,3,0,1,0,4:14,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,29,27
Francisco Trinaldo,Muslim Salikhov,39,13,0,0,0,0:02,9,48,16,0,0,0,0:10,7,41,10,0,0,0,0:28,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,49,26,1,0,0,0:30,13,39,16,0,0,0,0:16,6,30,20,0,2,0,1:21,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Makwan Amirkhani,Kamuela Kirk,16,6,0,2,0,1:44,3,20,6,0,1,0,2:51,5,13,8,0,2,0,2:15,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,11,0,0,0,0:04,3,27,13,0,0,3,0:00,2,13,4,0,0,0,1:30,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,27,30,28,29
Sean Woodson,Youssef Zalal,38,11,0,0,0,0:14,4,46,15,0,0,1,0:10,7,32,14,0,0,1,0:39,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31,17,0,1,0,1:46,6,34,15,0,1,0,1:46,8,24,10,0,0,0,2:49,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,28,29,29,28
Claudio Puelles,Jordan Leavitt,9,3,0,2,0,1:43,0,7,4,0,0,0,3:41,3,17,13,0,2,0,4:37,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,12,0,2,0,2:06,0,13,7,0,0,0,0:00,3,5,2,0,0,0,0:00,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Rob Font,Cody Garbrandt,44,21,0,0,0,0:00,14,55,27,0,0,0,0:00,21,68,32,0,1,0,1:12,26,101,51,0,0,0,0:00,42,97,45,0,1,0,0:01,42,27,13,0,2,0,0:53,9,21,8,0,1,0,1:58,5,29,15,0,0,0,0:02,13,25,12,0,0,0,0:00,8,40,15,0,0,0,0:09,10,48,47,50,45,50,45
Justin Tafa,Jared Vanderaa,38,15,0,0,0,0:00,9,47,26,0,0,0,0:00,14,62,33,0,0,0,0:11,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,64,31,0,0,0,0:00,14,90,47,0,0,0,0:17,26,94,43,0,0,0,0:07,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,28,29,27,30
Ricardo Ramos,Bill Algeo,27,17,0,4,0,1:23,9,32,18,0,2,1,1:03,11,43,18,0,2,0,1:00,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41,17,0,0,0,0:21,7,63,30,0,0,0,0:07,14,66,29,0,0,0,0:13,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,30,27
Jack Hermansson,Edmen Shahbazyan,42,18,0,0,0,0:03,7,13,6,0,2,0,2:54,6,45,31,0,1,0,4:14,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,67,26,0,0,0,0:00,21,17,10,0,0,1,1:51,10,8,4,0,0,0,0:00,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,27,29,27,29,27
Court McGee,Claudio Silva,30,10,0,1,0,0:51,4,25,16,0,0,1,3:35,13,19,11,0,2,0,3:37,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24,6,0,0,0,1:09,2,11,3,0,1,0,0:22,1,21,12,0,0,0,0:17,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,27,30,26,30,26
Josh Culibao,Shayilan Nuerdanbieke,14,11,0,0,0,0:00,6,44,21,0,0,0,0:02,12,46,21,0,0,1,0:02,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18,6,0,1,0,3:40,4,21,5,0,0,0,0:54,4,24,6,0,1,0,1:32,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Rafael Alves,Damir Ismagulov,7,2,1,0,1,0:02,2,26,12,0,0,0,0:00,7,30,16,0,0,0,0:14,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,17,0,0,0,4:46,4,66,24,0,1,0,1:10,14,37,15,0,1,0,1:44,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Tony Ferguson,Beneil Dariush,18,7,0,0,0,0:00,6,4,2,0,0,1,0:05,1,12,6,0,0,0,0:00,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,10,0,1,0,3:40,6,14,6,0,1,1,4:04,5,13,7,0,1,0,4:31,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Matt Schnell,Rogerio Bontorin,46,22,0,0,0,0:00,13,58,29,0,0,0,0:00,17,31,14,0,0,0,0:00,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33,20,0,0,0,0:00,15,45,21,0,0,0,0:00,16,46,31,0,1,0,2:18,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,28,29,27,30
Katlyn Chookagian,Viviane Araujo,91,37,0,0,0,0:00,21,76,35,0,0,0,0:01,24,125,55,0,0,0,0:00,42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,56,32,0,0,0,0:55,17,48,22,0,1,1,2:06,19,92,35,0,0,0,0:03,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,30,27
Lando Vannata,Mike Grundy,40,20,0,0,0,0:00,11,76,39,0,0,0,0:00,19,52,21,0,1,0,0:23,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,7,0,2,0,1:34,5,22,9,0,0,0,0:18,7,29,16,0,1,0,0:45,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,27,30,30,27
