Opponent A,Opponent B,Round_1_Sig_Strikes_Attempted_(A),Round_1_Sig_Strikes_Landed_(A),Round_1_KD_(A),Round_1_TD_(A),Round_1_Sub_Attempts_(A),Round_1_Ctrl_Time_(A),Round_1_Head_Strikes_(A),Round_2_Sig_Strikes_Attempted_(A),Round_2_Sig_Strikes_Landed_(A),Round_2_KD_(A),Round_2_TD_(A),Round_2_Sub_Attempts_(A),Round_2_Ctrl_Time_(A),Round_2_Head_Strikes_(A),Round_3_Sig_Strikes_Attempted_(A),Round_3_Sig_Strikes_Landed_(A),Round_3_KD_(A),Round_3_TD_(A),Round_3_Sub_Attempts_(A),Round_3_Ctrl_Time_(A),Round_3_Head_Strikes_(A),Round_4_Sig_Strikes_Attempted_(A),Round_4_Sig_Strikes_Landed_(A),Round_4_KD_(A),Round_4_TD_(A),Round_4_Sub_Attempts_(A),Round_4_Ctrl_Time_(A),Round_4_Head_Strikes_(A),Round_5_Sig_Strikes_Attempted_(A),Round_5_Sig_Strikes_Landed_(A),Round_5_KD_(A),Round_5_TD_(A),Round_5_Sub_Attempts_(A),Round_5_Ctrl_Time_(A),Round_5_Head_Strikes_(A),Round_1_Sig_Strikes_Attempted_(B),Round_1_Sig_Strikes_Landed_(B),Round_1_KD_(B),Round_1_TD_(B),Round_1_Sub_Attempts_(B),Round_1_Ctrl_Time_(B),Round_1_Head_Strikes_(B),Round_2_Sig_Strikes_Attempted_(B),Round_2_Sig_Strikes_Landed_(B),Round_2_KD_(B),Round_2_TD_(B),Round_2_Sub_Attempts_(B),Round_2_Ctrl_Time_(B),Round_2_Head_Strikes_(B),Round_3_Sig_Strikes_Attempted_(B),Round_3_Sig_Strikes_Landed_(B),Round_3_KD_(B),Round_3_TD_(B),Round_3_Sub_Attempts_(B),Round_3_Ctrl_Time_(B),Round_3_Head_Strikes_(B),Round_4_Sig_Strikes_Attempted_(B),Round_4_Sig_Strikes_Landed_(B),Round_4_KD_(B),Round_4_TD_(B),Round_4_Sub_Attempts_(B),Round_4_Ctrl_Time_(B),Round_4_Head_Strikes_(B),Round_5_Sig_Strikes_Attempted_(B),Round_5_Sig_Strikes_Landed_(B),Round_5_KD_(B),Round_5_TD_(B),Round_5_Sub_Attempts_(B),Round_5_Ctrl_Time_(B),Round_5_Head_Strikes_(B),Decision1,Decision1B,Decision2,Decision2B,Decision3,Decision3B
Belal Muhammad,Chance Rencountre,45,21,0,0,0,0:00,8,48,29,0,1,0,0:19,21,37,20,0,2,1,1:44,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51,7,0,0,0,0:00,3,39,4,0,0,0,0:00,3,33,5,0,0,0,0:00,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Desmond Green,Gleison Tibau,67,28,0,0,0,0:00,23,52,18,0,0,0,0:00,12,72,31,0,0,0,0:00,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,52,10,0,0,0,0:00,7,65,4,0,0,0,0:00,3,61,14,0,0,0,0:00,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,29,27
Stephen Thompson,Darren Till,18,5,0,0,0,0:00,0,28,6,0,0,0,0:00,1,31,8,0,0,0,0:00,3,26,8,0,0,0,0:00,3,23,3,0,0,0,0:00,1,12,4,0,0,0,0:00,0,25,9,0,0,0,0:00,2,32,9,0,0,0,0:00,7,33,7,0,0,0,0:08,4,24,9,1,0,0,0:06,5,47,48,46,49,46,49
Jason Knight,Makwan Amirkhani,42,15,2,0,1,1:10,5,36,12,0,0,0,1:41,4,10,2,0,0,0,4:03,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,9,0,0,0,0:14,9,25,13,0,2,0,0:00,12,10,5,0,1,0,0:00,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,30,27
Lina Lansberg,Gina Mazany,18,11,0,1,0,2:29,3,26,20,0,0,0,2:46,6,31,9,0,0,0,2:16,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,8,0,0,0,1:22,1,27,14,0,2,0,1:06,3,41,16,0,0,0,0:33,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,30,27,30,27
Brad Scott,Carlo Pedersoli Jr.,48,22,1,0,0,0:00,13,57,16,0,0,0,0:00,7,50,20,0,0,0,0:01,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51,18,0,0,0,0:05,10,65,27,0,1,0,0:27,15,63,22,0,2,0,0:54,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,29,28
Elias Theodorou,Trevor Smith,57,37,0,0,0,1:04,16,47,23,0,0,0,1:24,12,34,17,0,0,0,1:33,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25,13,0,0,0,1:52,5,32,19,0,2,0,1:21,8,24,9,0,1,0,1:09,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,29,28
Diego Rivas,Guido Cannetti,4,3,0,0,0,1:20,0,5,3,0,1,1,0:00,1,37,16,0,1,0,1:43,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,13,0,1,0,2:37,9,6,4,0,0,0,3:16,1,28,8,0,0,1,0:03,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Veronica Hardy,Andrea Lee,25,12,0,0,0,1:12,9,14,3,0,1,1,0:13,3,34,9,0,0,0,0:18,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,52,33,0,1,1,2:07,8,18,8,0,1,1,3:09,2,23,15,0,1,0,2:48,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Zak Cummings,Michel Prazeres,24,6,0,0,0,0:00,3,28,7,0,0,0,1:51,4,40,15,0,0,0,0:22,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,11,0,1,0,1:27,6,26,8,0,1,0,0:44,6,29,11,0,1,0,0:33,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,29,28,28,29
Brandon Moreno,Alexandre Pantoja,45,17,0,1,0,0:05,11,50,18,0,0,0,0:00,13,38,10,0,1,0,0:11,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,61,33,0,0,0,0:47,25,62,26,0,0,0,0:16,17,45,20,0,0,0,0:09,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,29,26,30,26,30
Enrique Barzola,Brandon Davis,33,17,0,3,0,1:20,7,25,15,0,5,1,4:02,13,36,19,0,2,0,1:51,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35,15,0,0,0,0:35,9,4,1,0,0,0,0:18,0,48,13,0,0,0,0:00,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,26,30,26,30,27
Henry Briones,Frankie Saenz,42,23,0,0,0,0:00,14,42,13,0,0,0,0:08,8,20,8,0,0,1,0:00,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,45,24,0,1,0,0:34,9,47,26,1,1,0,0:54,14,28,16,0,2,0,2:42,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26,30,27,30,27,30
Alberto Mina,Ramazan Emeev,25,4,0,1,0,0:05,1,13,4,0,0,0,0:00,1,44,4,0,0,0,0:00,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,13,0,1,0,1:14,8,28,12,0,2,0,3:37,10,29,14,0,0,0,0:15,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Frankie Edgar,Cub Swanson,43,16,0,0,0,0:14,8,53,21,0,0,0,0:00,12,40,21,0,0,0,0:37,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42,13,0,0,0,0:00,8,50,18,0,0,0,0:00,14,38,17,0,0,0,0:00,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Aljamain Sterling,Brett Johns,39,18,0,0,0,0:23,4,72,44,0,1,0,0:59,26,41,27,0,2,0,0:00,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34,6,0,1,0,1:35,5,39,15,0,0,0,1:32,13,16,6,0,0,0,3:24,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Ryan LaFlare,Alex Garcia,24,11,0,0,0,1:46,0,5,3,0,1,0,2:40,0,19,10,0,0,0,0:02,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,6,0,0,0,0:00,3,4,2,0,3,0,1:29,2,21,3,0,2,0,2:37,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Corey Anderson,Patrick Cummins,75,43,0,2,0,1:32,38,33,16,0,5,0,2:18,13,11,5,0,5,0,4:12,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,53,18,0,0,0,0:29,12,32,8,0,0,0,0:00,8,14,5,0,0,0,0:01,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,26,30,26,30,27
Anthony Rocco Martin,Keita Nakamura,41,15,0,0,0,0:00,11,45,20,0,0,1,0:00,18,47,21,0,0,1,0:32,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,8,0,1,0,0:50,5,36,12,0,0,0,0:09,9,24,4,0,1,0,0:39,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Israel Adesanya,Marvin Vettori,47,24,0,0,0,0:00,9,55,23,0,0,0,0:00,14,21,10,0,0,0,0:00,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,58,18,0,0,0,0:16,7,58,15,0,0,0,0:13,6,38,13,0,2,0,2:49,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,28,29
Michelle Waterson-Gomez,Cortney Casey,36,23,0,1,0,1:36,11,21,16,0,1,0,2:45,10,27,22,0,1,0,1:42,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38,16,0,0,0,0:23,9,25,11,0,0,2,0:23,8,33,9,0,0,1,0:56,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,29,28,29,28
Wilson Reis,John Moraga,19,2,0,3,0,1:33,1,28,6,0,2,0,2:20,2,14,4,0,3,0,3:50,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31,17,0,0,1,0:18,11,38,16,0,0,0,0:20,10,22,13,0,0,0,0:04,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Shana Dobson,Lauren Mueller,79,27,0,0,0,0:03,16,72,21,0,0,0,0:00,12,55,20,0,1,0,0:41,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,57,26,0,0,0,0:29,11,55,15,0,0,0,0:22,9,44,17,0,2,0,1:57,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Dhiego Lima,Yushin Okami,4,2,0,0,0,0:00,0,18,9,0,0,0,0:02,6,2,0,0,0,0,0:03,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,4,0,1,0,4:09,4,2,1,0,2,0,3:49,1,11,10,0,3,0,4:32,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26,30,26,30,26,30
Luke Sanders,Patrick Williams,42,22,1,0,0,0:43,17,59,20,0,0,0,0:31,12,39,17,0,0,0,0:05,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,15,0,0,0,0:44,1,45,24,0,1,0,0:11,7,41,22,0,0,0,0:00,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,30,27,30,27
Khabib Nurmagomedov,Al Iaquinta,24,13,0,3,0,3:59,12,34,19,0,2,0,3:59,17,87,37,0,0,0,0:00,31,93,35,0,0,0,0:00,32,66,30,0,1,1,2:35,30,8,0,0,0,0,0:00,0,9,3,0,0,0,0:00,0,36,7,0,0,0,0:00,4,45,15,0,0,0,0:00,12,43,16,0,0,0,0:00,11,50,44,50,43,50,43
Rose Namajunas,Joanna Jedrzejczyk,64,21,0,0,0,0:01,15,45,20,0,0,0,0:30,19,60,19,0,0,0,0:00,15,62,22,0,0,0,0:00,16,70,23,0,1,0,0:25,20,67,24,0,0,0,0:00,10,60,25,0,0,0,0:00,7,68,30,0,0,0,0:00,13,77,38,0,0,0,0:00,19,84,28,0,0,0,0:00,15,49,46,49,46,49,46
Renato Moicano,Calvin Kattar,56,25,0,0,0,0:00,10,64,40,0,0,0,0:00,17,86,51,0,0,0,0:00,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,47,15,0,0,0,0:00,12,38,9,0,0,0,0:00,9,55,17,0,0,0,0:01,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,30,27,30,27
Zabit Magomedsharipov,Kyle Bochniak,91,41,0,0,0,0:00,26,70,30,0,2,0,1:46,23,56,26,0,3,0,2:02,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,61,15,0,0,0,0:00,10,42,10,0,0,0,0:00,8,60,18,0,0,0,0:40,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,29,28
Karolina Kowalkiewicz,Felice Herrig,73,35,0,0,0,0:31,20,91,51,0,0,0,0:40,32,84,40,0,0,0,0:00,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,59,21,0,0,0,1:05,15,69,27,0,0,0,0:10,19,88,38,0,0,0,0:30,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,28,29
Bec Rawlings,Ashlee Evans-Smith,60,30,0,0,0,0:08,14,65,28,0,0,0,0:01,18,70,30,0,0,0,0:00,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,99,35,0,1,0,0:07,20,124,45,0,0,0,0:00,33,108,36,0,0,0,0:00,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Devin Clark,Mike Rodriguez,18,12,0,2,0,3:50,9,30,25,0,1,0,3:14,12,16,13,0,4,0,4:21,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24,14,0,0,0,0:19,6,29,16,0,0,0,0:18,8,13,10,0,0,0,0:01,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,29,28
Jimi Manuwa,Jan Blachowicz,33,8,0,0,0,0:02,1,41,16,0,0,0,0:00,8,36,13,0,0,0,0:00,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,65,27,1,0,0,1:04,25,55,28,0,0,0,1:21,23,71,42,0,1,0,0:27,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,27,30,28,29
Tom Duquesnoy,Terrion Ware,50,22,0,0,0,0:01,8,46,22,0,0,0,0:00,9,57,23,0,0,0,0:04,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,70,26,0,1,0,0:16,14,84,34,0,0,0,0:56,24,113,25,0,1,0,0:16,22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,29,28
Stevie Ray,Kajan Johnson,17,4,0,0,0,0:00,0,15,4,0,2,1,0:50,2,30,16,0,1,0,0:50,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,14,0,0,0,0:00,0,17,11,0,2,0,2:16,3,16,8,0,0,0,1:58,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,29,28
Sean O'Malley,Andre Soukhamthath,54,28,0,0,0,0:00,15,35,23,0,0,3,0:55,17,22,12,0,0,0,0:00,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,4,0,0,0,0:00,1,18,5,0,1,0,2:24,2,23,16,0,3,0,3:37,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,27,29,27
Stefan Struve,Andrei Arlovski,24,14,0,0,0,0:01,4,18,7,0,0,0,1:16,3,32,13,0,0,0,0:00,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25,14,0,2,0,1:42,3,20,8,0,1,0,1:41,2,43,24,0,1,0,1:08,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,27,30,28,29
Cat Zingano,Ketlen Vieira,45,22,0,0,0,0:00,11,14,9,0,0,0,0:00,7,47,28,0,0,0,0:14,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39,17,0,0,0,1:41,14,18,15,0,1,1,4:38,13,14,9,0,1,0,3:50,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,29,28
Ashley Yoder,Mackenzie Dern,52,21,0,0,0,0:02,11,54,21,1,0,0,0:30,10,36,10,0,0,0,0:10,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,52,25,0,0,0,2:14,15,51,21,0,0,0,0:44,9,40,24,0,1,1,2:52,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,28,29,28,29
John Dodson,Pedro Munhoz,59,22,0,0,0,0:00,10,70,33,0,0,0,0:00,20,55,21,0,0,0,0:00,17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40,13,0,0,0,0:00,3,64,34,0,0,0,0:00,19,68,22,0,1,0,1:02,17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,28,29,29,28
Bryan Caraway,Cody Stamann,28,11,0,1,0,3:02,9,66,23,0,0,0,0:45,22,74,25,0,0,0,1:12,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34,15,0,0,0,0:00,10,58,32,0,0,0,0:00,24,74,48,0,0,0,0:00,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,29,28
Jordan Johnson,Adam Milstead,37,22,0,0,0,1:50,15,21,15,0,1,0,3:25,9,48,22,0,1,0,1:58,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,53,20,0,0,0,0:00,15,24,11,0,0,0,0:00,9,56,27,0,0,0,0:00,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,27,30,29,28
Jessica Andrade,Tecia Torres,99,39,0,1,0,0:19,24,33,16,0,4,0,3:01,7,46,37,0,5,0,3:55,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,110,49,0,0,0,0:00,43,26,16,0,2,0,0:14,11,14,4,0,0,0,0:09,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,27,29,28,29,28
Mike Perry,Max Griffin,40,14,0,1,0,0:45,4,36,16,0,0,0,0:00,9,34,15,0,0,0,0:33,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,61,27,0,0,0,0:07,19,72,37,1,0,0,0:13,30,35,14,0,0,0,0:04,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,29,27,29
Maryna Moroz,Angela Hill,104,26,0,0,0,0:00,12,87,19,0,0,0,0:31,9,130,39,0,0,0,0:00,18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,73,38,0,0,0,0:28,20,54,29,0,1,0,1:10,17,82,47,0,0,0,0:23,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Eric Shelton,Alex Perez,40,18,0,0,0,0:00,14,22,10,0,0,0,0:02,5,47,13,0,0,0,0:00,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39,13,0,1,0,1:30,7,22,6,0,1,0,3:23,4,21,10,0,3,0,2:05,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
James Vick,Francisco Trinaldo,61,23,1,0,0,0:12,9,50,25,0,1,0,0:15,11,47,20,0,0,0,0:00,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,7,0,2,1,1:11,3,30,9,0,1,0,0:21,3,33,10,0,0,0,0:04,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Steven Peterson,Brandon Davis,109,26,0,0,0,0:00,17,72,20,0,1,0,1:39,12,105,27,0,0,0,0:09,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,106,39,0,0,0,0:00,19,70,28,0,0,0,0:39,24,109,47,0,0,0,0:00,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,26,30,28,29
Sage Northcutt,Thibault Gouti,45,22,0,1,0,1:37,15,41,12,0,0,0,0:00,5,52,29,0,0,0,0:16,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,9,0,0,1,0:54,6,29,14,0,1,0,3:00,10,18,5,0,3,0,2:17,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Sarah Moras,Lucie Pudilova,51,28,0,1,1,3:22,24,20,8,0,0,1,0:00,3,50,7,0,1,0,1:25,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37,23,1,0,0,0:53,23,35,19,1,0,0,3:50,16,62,33,0,0,0,0:09,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,27,29
Lyoto Machida,Eryk Anders,26,15,0,0,0,2:17,2,22,14,0,0,0,0:00,4,19,10,0,0,0,0:00,7,18,10,0,0,0,0:00,3,27,13,0,0,0,0:00,2,6,2,0,0,0,0:00,0,13,6,0,0,0,0:29,4,19,9,0,1,0,0:36,6,18,6,0,1,0,2:25,4,21,9,0,1,0,0:17,4,48,47,47,48,49,46
Michel Prazeres,Desmond Green,17,9,0,1,0,0:33,4,17,10,0,1,3,1:54,7,38,17,0,1,0,1:28,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25,16,0,2,0,1:34,0,7,4,0,1,0,1:11,0,29,13,0,0,0,0:00,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,29,28
Timothy Johnson,Marcelo Golm,43,24,0,0,0,1:27,11,38,23,0,0,0,2:01,12,65,30,0,0,0,2:20,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26,16,0,0,0,0:12,6,37,29,0,0,0,0:52,23,24,14,0,0,0,0:00,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,29,28
Douglas Silva de Andrade,Marlon Vera,56,27,0,1,0,0:22,11,78,30,0,0,0,0:12,18,98,40,0,0,0,0:01,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,48,18,0,0,0,0:01,5,68,23,0,0,0,0:00,12,75,31,0,0,0,0:00,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Sergio Moraes,Tim Means,51,20,0,0,0,0:00,17,62,29,0,0,0,0:00,22,79,38,0,0,0,0:00,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,66,28,0,0,0,1:01,14,87,43,0,0,0,0:00,28,121,58,1,0,0,0:21,49,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,28,29,29,28
Dennis Bermudez,Andre Fili,66,35,0,0,0,1:16,19,48,27,0,0,0,1:23,12,82,41,0,1,0,0:32,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,70,28,0,2,0,0:10,23,59,23,0,2,0,0:35,19,100,29,0,0,0,0:05,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,30,27
Drew Dober,Frank Camacho,70,30,0,0,0,0:08,14,134,67,0,0,0,0:03,46,118,48,0,0,0,0:14,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41,17,0,2,0,2:12,14,79,37,0,0,0,0:21,24,103,52,0,1,0,0:31,42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,30,27
Erik Koch,Bobby Green,45,22,0,1,0,1:28,17,72,25,0,0,0,0:00,19,29,9,0,0,0,0:28,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40,27,0,0,0,0:44,8,77,34,0,0,0,0:04,12,77,49,0,1,0,2:29,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Katlyn Chookagian,Mara Romero Borella,99,24,0,0,0,0:00,13,70,23,0,0,0,0:00,8,83,21,0,0,1,0:00,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,70,34,0,0,0,0:00,19,72,22,0,0,0,0:07,13,69,23,0,1,0,0:28,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,30,27
Randa Markos,Juliana Lima,25,22,0,0,0,2:41,1,19,10,0,1,0,2:35,7,21,14,0,1,0,3:56,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,10,0,1,0,1:28,3,10,3,0,0,0,1:02,0,10,5,0,0,0,0:40,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Justine Kish,Ji Yeon Kim,54,23,0,0,0,0:00,9,61,31,0,0,0,0:00,13,88,42,0,0,0,0:00,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50,14,0,0,0,0:00,10,69,18,0,0,0,0:00,16,96,36,0,0,0,0:00,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,27,30,28,29
Vinc Pichel,Joaquim Silva,38,13,0,0,0,0:23,3,48,19,0,0,0,0:12,9,100,28,0,1,0,0:14,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,6,0,0,0,0:00,3,30,11,0,0,0,0:00,7,54,28,0,0,0,0:00,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Stipe Miocic,Francis Ngannou,25,16,0,2,0,1:58,13,24,17,0,2,0,2:17,7,16,12,0,1,0,3:49,8,21,18,0,1,0,4:39,15,9,7,0,0,0,2:22,2,62,15,0,0,0,0:01,14,27,4,0,0,0,0:00,2,8,1,0,0,0,0:01,1,3,0,0,0,0,0:00,0,13,1,0,0,1,0:00,0,50,44,50,44,50,44
Gian Villante,Francimar Barroso,50,15,0,0,0,0:00,12,79,35,0,0,0,0:00,26,80,24,0,0,0,0:00,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26,21,0,0,0,0:00,9,57,26,0,0,0,0:00,13,45,27,0,0,0,0:00,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,28,29
Kyle Bochniak,Brandon Davis,16,7,0,2,0,2:30,5,59,13,0,0,0,0:13,13,57,13,0,1,0,1:07,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,7,0,0,0,0:00,1,46,19,0,0,0,0:03,9,46,12,0,1,0,0:05,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,29,28
Matt Bessette,Enrique Barzola,52,11,0,0,0,0:00,7,33,9,0,0,0,0:00,3,61,23,0,0,0,0:00,17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34,15,0,1,0,0:56,3,31,17,0,3,0,2:16,7,57,23,0,1,0,1:22,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,27,30,28,29
Paige VanZant,Jessica-Rose Clark,16,7,0,0,0,0:04,5,29,19,0,0,0,2:29,15,73,28,0,0,0,0:00,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25,12,0,1,0,3:40,9,22,15,0,1,1,1:57,10,51,28,0,0,0,0:00,17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,28,29,28,29
Kamaru Usman,Emil Meek,14,13,0,3,0,4:52,4,27,18,0,1,0,3:54,15,25,19,0,4,0,4:05,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,3,0,0,1,0:00,2,31,13,0,0,1,0:02,8,26,14,0,0,0,0:00,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
James Krause,Alex White,19,12,0,1,0,3:42,11,32,17,0,2,1,3:04,14,16,6,0,0,1,3:23,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34,15,0,0,0,0:00,11,50,17,0,1,0,0:23,16,43,24,0,0,0,0:30,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Talita Bernardo,Irene Aldana,26,13,0,0,0,1:38,7,27,12,0,1,0,3:37,9,34,21,0,0,0,0:42,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,72,28,0,1,0,0:52,22,29,12,0,0,0,0:00,10,70,30,0,0,0,0:34,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
