Round score,Diff_Sig_Strikes_Attempted,Diff_Sig_Strikes_Landed,Diff_KD,Diff_TD,Diff_Sub_Attempts,Diff_Ctrl_Time,Diff_Head_Strikes
1,35,4,0,0,0,23,8
-1,-35,-4,0,0,0,-23,-8
1,-33,0,0,0,0,-56,-5
-1,33,0,0,0,0,56,5
1,-4,-9,0,0,0,0,-4
-1,4,9,0,0,0,0,4
1,19,12,0,0,0,-5,-1
-1,-19,-12,0,0,0,5,1
1,3,14,0,0,0,-9,5
-1,-3,-14,0,0,0,9,-5
1,2,2,0,0,0,-12,12
-1,-2,-2,0,0,0,12,-12
1,7,7,0,1,0,160,-3
-1,-7,-7,0,-1,0,-160,3
1,-2,1,0,4,0,217,-5
-1,2,-1,0,-4,0,-217,5
1,-4,3,0,2,0,-20,-2
-1,4,-3,0,-2,0,20,2
1,12,12,0,0,0,-31,5
-1,-12,-12,0,0,0,31,-5
1,23,15,0,-2,0,-91,20
-1,-23,-15,0,2,0,91,-20
1,-3,0,0,0,0,1,-2
-1,3,0,0,0,0,-1,2
1,7,9,0,1,0,56,2
-1,-7,-9,0,-1,0,-56,-2
1,-25,-22,0,-1,0,-11,-6
-1,25,22,0,1,0,11,6
1,6,0,0,-1,0,-108,-2
-1,-6,0,0,1,0,108,2
1,1,-4,0,0,0,26,5
-1,-1,4,0,0,0,-26,-5
1,12,8,0,0,0,-114,8
-1,-12,-8,0,0,0,114,-8
1,-10,7,0,0,0,-4,7
-1,10,-7,0,0,0,4,-7
1,-1,8,0,0,-2,206,7
-1,1,-8,0,0,2,-206,-7
1,9,17,0,4,-1,175,5
-1,-9,-17,0,-4,1,-175,-5
1,37,9,0,1,0,70,8
-1,-37,-9,0,-1,0,-70,-8
1,45,17,0,2,0,27,13
-1,-45,-17,0,-2,0,-27,-13
1,19,7,0,1,0,67,5
-1,-19,-7,0,-1,0,-67,-5
1,44,17,0,1,0,14,9
-1,-44,-17,0,-1,0,-14,-9
1,50,22,0,5,0,125,15
-1,-50,-22,0,-5,0,-125,-15
1,14,8,0,1,2,-65,4
-1,-14,-8,0,-1,-2,65,-4
1,-3,-1,0,-1,0,90,-3
-1,3,1,0,1,0,-90,3
1,-6,0,0,-1,1,-47,-5
-1,6,0,0,1,-1,47,5
1,27,14,0,2,0,113,14
-1,-27,-14,0,-2,0,-113,-14
1,4,0,0,-1,0,-33,2
-1,-4,0,0,1,0,33,-2
1,-5,-8,0,1,1,13,-8
-1,5,8,0,-1,-1,-13,8
1,1,3,0,3,0,124,1
-1,-1,-3,0,-3,0,-124,-1
1,9,5,1,4,0,206,5
-1,-9,-5,-1,-4,0,-206,-5
2,2,4,0,1,0,254,6
-2,-2,-4,0,-1,0,-254,-6
1,11,7,0,-1,0,-92,2
-1,-11,-7,0,1,0,92,-2
1,70,54,0,-2,0,-31,28
-1,-70,-54,0,2,0,31,-28
1,-9,-18,0,0,-2,-1,-18
-1,9,18,0,0,2,1,18
1,47,24,0,0,0,-25,8
-1,-47,-24,0,0,0,25,-8
1,34,15,0,0,0,0,-3
-1,-34,-15,0,0,0,0,3
1,24,13,0,2,0,-32,0
-1,-24,-13,0,-2,0,32,0
1,13,-1,0,0,0,11,14
-1,-13,1,0,0,0,-11,-14
1,4,3,0,1,0,284,5
-1,-4,-3,0,-1,0,-284,-5
1,9,10,0,4,0,281,11
-1,-9,-10,0,-4,0,-281,-11
1,-17,-3,-1,2,0,122,-4
-1,17,3,1,-2,0,-122,4
1,-31,-5,0,1,0,87,-4
-1,31,5,0,-1,0,-87,4
1,-7,-3,0,1,0,171,3
-1,7,3,0,-1,0,-171,-3
1,-5,10,0,0,0,0,1
-1,5,-10,0,0,0,0,-1
1,-3,3,0,2,-1,105,3
-1,3,-3,0,-2,1,-105,-3
1,28,7,0,1,0,52,5
-1,-28,-7,0,-1,0,-52,-5
1,23,13,0,1,-1,145,7
-1,-23,-13,0,-1,1,-145,-7
2,7,5,0,0,0,280,4
-2,-7,-5,0,0,0,-280,-4
1,38,34,0,1,-1,75,23
-1,-38,-34,0,-1,1,-75,-23
2,-18,-12,0,0,0,0,5
-2,18,12,0,0,0,0,-5
1,26,14,1,0,0,132,12
-1,-26,-14,-1,0,0,-132,-12
2,48,31,0,1,0,115,19
-2,-48,-31,0,-1,0,-115,-19
1,-5,8,0,1,0,90,7
-1,5,-8,0,-1,0,-90,-7
1,-6,6,0,0,0,6,6
-1,6,-6,0,0,0,-6,-6
1,10,2,0,-1,1,-74,0
-1,-10,-2,0,1,-1,74,0
1,-9,-6,0,4,0,180,-3
-1,9,6,0,-4,0,-180,3
1,19,12,1,-4,0,-140,7
-1,-19,-12,-1,4,0,140,-7
1,-16,-8,0,3,-1,108,-9
-1,16,8,0,-3,1,-108,9
1,18,6,0,0,0,125,6
-1,-18,-6,0,0,0,-125,-6
1,12,12,0,0,0,106,4
-1,-12,-12,0,0,0,-106,-4
1,3,6,0,1,0,134,2
-1,-3,-6,0,-1,0,-134,-2
1,-5,-4,0,1,0,178,0
