Winner,Opponent_A,Opponent_B,Rd1A,Rd2A,Rd3A,Rd4A,Rd5A,Rd1B,Rd2B,Rd3B,Rd4B,Rd5B,Rd1C,Rd2C,Rd3C,Rd4C,Rd5C,Media_score_ratio_of_agreement,Full_Scores,Rd1_Fans,Rd2_Fans,Rd3_Fans,Rd4_Fans,Rd5_Fans
Albazi,Amir Albazi,Zhalgas Zhumagulov,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",-0.246,0.842,1.0
Chiesa,Michael Chiesa,Neil Magny,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1.0,"['49', '46', '49', '46', '49', '46']",0.976,1.05,0.481,0.962,1.024
Araujo,Viviane Araujo,Roxanne Modafferi,1,1,1,--,--,1,1,1,--,--,2,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '26']",1.266,0.966,0.8
Schnell,Matt Schnell,Tyson Nam,1,1,-1,--,--,1,-1,-1,--,--,1,1,-1,--,--,0.875,"['29', '28', '28', '29', '29', '28']",0.867,0.058,-0.485
Murphy,Lerone Murphy,Douglas Silva de Andrade,1,1,-1,--,--,1,-1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '29', '28', '30', '27']",0.822,0.178,0.267
Mudaerji,Su Mudaerji,Zarrukh Adashev,-1,1,1,--,--,-1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '29', '28', '30', '27']"
Lungiambula,Dalcha Lungiambula,Markus Perez,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.889,"['29', '28', '29', '28', '29', '28']",0.469,0.876,-0.781
Figueiredo,Francisco Figueiredo,Jerome Rivera,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Davis,Mike Davis,Mason Jones,1,1,-1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.6,"['29', '28', '29', '28', '29', '28']",0.914,-0.478,-0.179
Holloway,Max Holloway,Calvin Kattar,1,2,1,2,1,1,2,1,2,1,1,2,1,2,2,1.0,"['50', '43', '50', '43', '50', '42']",1.038,1.98,1.27,2.279,1.714
Condit,Carlos Condit,Matt Brown,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",-0.151,0.962,0.919
Edwards,Joselyne Edwards,Wu Yanan,1,1,1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']",0.934,1.064,0.226
Felipe,Carlos Felipe,Justin Tafa,-1,1,1,--,--,-1,1,-1,--,--,-1,1,1,--,--,0.2,"['29', '28', '28', '29', '29', '28']",-0.98,0.798,-0.62
Emeev,Ramazan Emeev,David Zawada,-1,-1,1,--,--,1,-1,1,--,--,1,1,-1,--,--,0.833,"['28', '29', '29', '28', '29', '28']",0.856,-0.29,0.029
Melo,Vanessa Melo,Sarah Moras,1,1,1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.941,"['30', '27', '29', '28', '29', '28']"
Lingo,Austin Lingo,Jacob Kilburn,1,1,1,--,--,2,1,1,--,--,2,1,1,--,--,1.0,"['30', '27', '30', '26', '30', '26']"
Thompson,Stephen Thompson,Geoff Neal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"['50', '45', '50', '45', '50', '45']",0.992,1.016,0.992,0.991,0.687
Aldo,Jose Aldo,Marlon Vera,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",0.863,0.019,1.009
Pereira,Michel Pereira,Khaos Williams,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.6,"['29', '28', '29', '28', '29', '28']",-0.612,0.062,0.843
Pettis,Anthony Pettis,Alex Morono,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",-0.999,0.872,1.043
Kianzad,Pannie Kianzad,Sijara Eubanks,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.905,"['29', '28', '29', '28', '29', '28']",-1.032,0.87,0.484
Winn,Deron Winn,Antonio Arroyo,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.952,"['29', '28', '29', '28', '29', '28']"
Santos,Taila Santos,Gillian Robertson,1,1,2,--,--,-1,1,1,--,--,1,1,2,--,--,1.0,"['30', '26', '29', '28', '30', '26']",0.322,1.065,1.226
Nchukwi,Tafon Nchukwi,Jamie Pickett,1,1,2,--,--,2,1,2,--,--,1,1,2,--,--,1.0,"['30', '26', '30', '25', '30', '26']"
Giagos,Christos Giagos,Carlton Minus,2,1,1,--,--,2,1,-1,--,--,1,1,-1,--,--,1.0,"['30', '26', '29', '27', '29', '28']",1.969,1.313,-0.281
DRAW,Deiveson Figueiredo,Brandon Moreno,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0.519,"['48', '46', '47', '47', '47', '47']",-0.994,-0.977,-0.827,-1.0,-0.985
Oliveira,Charles Oliveira,Tony Ferguson,2,1,1,--,--,2,1,1,--,--,2,1,1,--,--,1.0,"['30', '26', '30', '26', '30', '26']",1.961,1.255,1.341
Dern,Mackenzie Dern,Virna Jandiroba,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.818,"['29', '28', '29', '28', '29', '28']",0.937,-0.923,0.45
Tucker,Gavin Tucker,Billy Quarantillo,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",0.839,1.001,0.936
Vettori,Marvin Vettori,Jack Hermansson,1,1,-1,1,1,1,1,-1,1,1,2,1,-1,1,1,1.0,"['49', '46', '49', '46', '49', '45']",1.464,0.804,-0.922,0.776,0.676
Dolidze,Roman Dolidze,John Allan,1,1,-1,--,--,1,1,1,--,--,-1,1,-1,--,--,1.0,"['29', '28', '30', '27', '28', '29']",0.966,1.01,0.655
Collier,Jake Collier,Gian Villante,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",0.938,0.313,1.0
Porter,Parker Porter,Josh Parisian,1,2,1,--,--,1,1,1,--,--,-1,1,1,--,--,1.0,"['30', '26', '30', '27', '29', '28']"
Algeo,Bill Algeo,Spike Carlyle,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Dumont,Norma Dumont,Ashlee Evans-Smith,1,1,2,--,--,1,2,1,--,--,1,1,2,--,--,1.0,"['30', '26', '30', '26', '30', '26']"
Shevchenko,Valentina Shevchenko,Jennifer Maia,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1.0,"['49', '46', '49', '46', '49', '46']",0.99,-0.951,0.97,0.99,0.921
Means,Tim Means,Mike Perry,-1,1,1,--,--,1,1,1,--,--,-1,1,1,--,--,0.963,"['29', '28', '30', '27', '29', '28']",-0.858,0.86,0.802
Chookagian,Katlyn Chookagian,Cynthia Calvillo,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,0.9,"['30', '27', '30', '27', '30', '27']",0.518,0.797,0.592
Dalby,Nicolas Dalby,Daniel Rodriguez,1,-1,1,--,--,1,1,-1,--,--,1,1,1,--,--,0.55,"['29', '28', '29', '28', '30', '27']",-0.119,-0.39,0.465
Jouban,Alan Jouban,Jared Gooden,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",0.794,1.089,1.0
Daukaus,Kyle Daukaus,Dustin Stoltzfus,1,1,2,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '26', '30', '27', '30', '27']"
dos Anjos,Rafael dos Anjos,Paul Felder,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1.0,"['50', '45', '50', '45', '47', '48']",0.938,0.703,0.887,0.207,1.007
Yoder,Ashley Yoder,Miranda Granger,-1,1,2,--,--,-1,1,2,--,--,1,1,2,--,--,1.0,"['29', '27', '29', '27', '30', '26']",-0.488,0.768,1.721
McKenna,Cory McKenna,Kay Hansen,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.125,"['29', '28', '29', '28', '29', '28']",-0.465,0.405,-0.76
Murata,Kanako Murata,Randa Markos,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Gravely,Tony Gravely,Geraldo de Freitas Jr.,1,-1,1,--,--,-1,-1,1,--,--,1,1,1,--,--,0.938,"['29', '28', '28', '29', '30', '27']",0.868,0.816,-0.263
Morono,Alex Morono,Rhys McKee,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Mayes,Don'tale Mayes,Roque Martinez,1,1,1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']",1.0,0.967,-0.966
Arlovski,Andrei Arlovski,Tanner Boser,-1,1,1,--,--,1,-1,1,--,--,1,1,-1,--,--,0.625,"['29', '28', '29', '28', '29', '28']",-0.516,0.222,0.294
Barcelos,Raoni Barcelos,Khalid Taha,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Xiaonan,Yan Xiaonan,Cláudia Gadelha,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",-0.446,0.953,0.816
Mitchell,Bryce Mitchell,Andre Fili,1,1,1,--,--,1,1,1,--,--,1,-1,1,--,--,1.0,"['30', '27', '30', '27', '29', '28']",1.165,-0.538,0.901
Moises,Thiago Moises,Bobby Green,1,-1,1,--,--,1,-1,1,--,--,-1,1,1,--,--,0.267,"['29', '28', '29', '28', '29', '28']",-0.362,-0.74,0.106
Strickland,Sean Strickland,Jack Marshman,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Whittaker,Robert Whittaker,Jared Cannonier,1,-1,1,--,--,1,-1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",0.836,0.857,1.1
Kenney,Casey Kenney,Nathaniel Wood,1,-1,1,--,--,1,1,-1,--,--,1,1,1,--,--,0.765,"['29', '28', '29', '28', '30', '27']",0.409,-0.741,0.117
DRAW,Sam Alvey,Da Un Jung,1,1,-2,--,--,1,1,-1,--,--,-1,1,-1,--,--,0.143,"['28', '28', '29', '28', '28', '29']",-0.994,-0.987,-1.21
Ortega,Brian Ortega,Chan Sung Jung,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"['50', '45', '50', '45', '50', '45']",0.871,0.904,0.837,0.856,0.727
Krause,James Krause,Claudio Silva,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",0.83,0.66,-0.022
Martinez,Jonathan Martinez,Thomas Almeida,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Kutateladze,Guram Kutateladze,Mateusz Gamrot,-1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.824,"['28', '29', '29', '28', '29', '28']",-0.216,0.737,-0.966
Robertson,Gillian Robertson,Poliana Botelho,-1,1,2,--,--,-1,1,2,--,--,-1,1,1,--,--,1.0,"['29', '27', '29', '27', '29', '28']"
Park,Jun Yong Park,John Phillips,2,2,1,--,--,1,2,2,--,--,2,2,1,--,--,1.0,"['30', '25', '30', '25', '30', '25']",1.883,2.059,1.844
Ziam,Fares Ziam,Jamie Mullarkey,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.118,"['29', '28', '29', '28', '29', '28']",0.93,-0.757,-0.391
Barboza,Edson Barboza,Makwan Amirkhani,1,1,1,--,--,1,2,1,--,--,1,1,-1,--,--,1.0,"['30', '27', '30', '26', '29', '28']",0.78,1.67,0.561
Tybura,Marcin Tybura,Ben Rothwell,-1,1,2,--,--,-1,1,2,--,--,-1,1,2,--,--,1.0,"['29', '27', '29', '27', '29', '27']",-0.878,0.918,1.571
Topuria,Ilia Topuria,Youssef Zalal,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",1.151,1.02,0.584
Kelley,Tony Kelley,Ali Al Qaisi,-1,1,1,--,--,1,1,1,--,--,1,1,-1,--,--,1.0,"['29', '28', '30', '27', '29', '28']",-0.024,0.858,0.143
Chikadze,Giga Chikadze,Omar Morales,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Cortez,Tracy Cortez,Stephanie Egger,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Ulanbekov,Tagir Ulanbekov,Bruno Silva,1,1,-1,--,--,1,1,1,--,--,-1,1,1,--,--,0.867,"['29', '28', '30', '27', '29', '28']",-0.465,0.93,-0.21
Holm,Holly Holm,Irene Aldana,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.0,"['50', '44', '50', '45', '50', '45']",0.673,0.741,1.156,0.861,1.052
Felipe,Carlos Felipe,Yorgan De Castro,1,1,1,--,--,1,-1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']",0.786,0.548,0.286
Condit,Carlos Condit,Court McGee,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",0.727,0.794,0.794
DRAW,Charles Jourdain,Joshua Culibao,-1,-1,2,--,--,-1,-1,1,--,--,1,1,1,--,--,0.0,"['28', '28', '28', '29', '30', '27']",-1.008,-1.0,-1.189
Imavov,Nassourdine Imavov,Jordan Williams,-1,2,1,--,--,-1,1,1,--,--,-1,2,1,--,--,1.0,"['29', '27', '29', '28', '29', '27']"
Lookboonmee,Loma Lookboonmee,Jinh Yu Frey,1,1,1,--,--,1,1,1,--,--,1,1,-1,--,--,1.0,"['30', '27', '30', '27', '29', '28']"
Kenney,Casey Kenney,Heili Alateng,2,2,1,--,--,1,1,1,--,--,1,2,1,--,--,1.0,"['30', '25', '30', '27', '30', '26']",1.701,1.933,1.266
Vieira,Ketlen Vieira,Sijara Eubanks,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",0.678,1.0,-0.678
Dawodu,Hakeem Dawodu,Zubaira Tukhugov,1,-1,1,--,--,1,1,1,--,--,-1,-1,1,--,--,0.304,"['29', '28', '30', '27', '28', '29']",-0.264,-0.217,0.981
Riddell,Brad Riddell,Alex da Silva,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",-1.0,0.878,1.03
Matthews,Jake Matthews,Diego Sanchez,1,1,2,--,--,1,1,2,--,--,1,1,2,--,--,1.0,"['30', '26', '30', '26', '30', '26']",0.97,1.029,1.941
Knight,William Knight,Aleksa Camur,-1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']",0.313,1.156,1.0
Marques,Danilo Marques,Khadis Ibragimov,1,1,-1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,"['29', '28', '29', '28', '30', '27']"
DRAW,Niko Price,Donald Cerrone,-1,-1,-1,--,--,-1,1,-1,--,--,-1,1,-1,--,--,0.818,"['27', '29', '28', '28', '28', '28']",-0.036,-0.974,-0.979
Holland,Kevin Holland,Darren Stewart,1,1,-1,--,--,1,1,-1,--,--,1,-1,-1,--,--,0.842,"['29', '28', '29', '28', '28', '29']",0.804,0.578,-1.083
Dvorak,David Dvorak,Jordan Espinosa,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Ewell,Andre Ewell,Irwin Rivera,1,1,-1,--,--,1,1,-1,--,--,1,-1,-1,--,--,0.944,"['29', '28', '29', '28', '28', '29']",1.0,0.768,0.256
Waterson-Gomez,Michelle Waterson-Gomez,Angela Hill,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,1,1,-1,0.476,"['48', '47', '49', '46', '47', '48']",-0.987,-0.861,0.977,0.92,-0.177
Modafferi,Roxanne Modafferi,Andrea Lee,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.733,"['29', '28', '29', '28', '29', '28']",0.898,-0.963,-0.101
Green,Bobby Green,Alan Patrick,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Eubanks,Sijara Eubanks,Julia Avila,-1,2,1,--,--,-1,2,1,--,--,-1,2,1,--,--,1.0,"['29', '27', '29', '27', '29', '27']"
Barberena,Bryan Barberena,Anthony Ivy,-1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']"
Araujo,Viviane Araujo,Montana De La Rosa,1,1,-1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']",1.0,0.9,0.666
Azure,Hunter Azure,Cole Smith,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Rakic,Aleksandar Rakic,Anthony Smith,1,1,2,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '26', '30', '27', '30', '27']",1.228,1.164,1.342
Magny,Neil Magny,Robbie Lawler,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",1.036,1.25,0.982
Grasso,Alexa Grasso,Ji Yeon Kim,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",0.368,0.948,0.948
Lamas,Ricardo Lamas,Bill Algeo,1,-1,2,--,--,1,-1,2,--,--,1,-1,2,--,--,0.75,"['29', '27', '29', '27', '29', '27']",0.08,-0.921,1.92
Kasanganay,Impa Kasanganay,Maki Pitolo,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Cummings,Zak Cummings,Alessio Di Chirico,-1,1,1,--,--,1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '30', '27', '29', '28']",-0.854,0.756,0.976
Edgar,Frankie Edgar,Pedro Munhoz,-1,1,1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,0.174,"['48', '47', '48', '47', '46', '49']",-0.375,0.905,-0.758,-0.691,0.163
Lemos,Amanda Lemos,Mizuki Inoue,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",1.045,0.5,0.25
Semelsberger,Matthew Semelsberger,Carlton Minus,1,2,1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,"['30', '26', '29', '28', '30', '27']",1.0,1.188,0.938
Miocic,Stipe Miocic,Daniel Cormier,-1,1,1,1,1,1,1,1,-1,1,-1,1,1,-1,1,0.885,"['49', '46', '49', '46', '48', '47']",-0.339,0.995,0.974,-0.441,0.725
Dvalishvili,Merab Dvalishvili,John Dodson,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",0.971,0.815,0.986
Pichel,Vinc Pichel,Jim Miller,-1,2,1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '27', '29', '28', '29', '28']",-0.973,1.0,0.919
Chavez,Danny Chavez,T.J. Brown,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",0.915,1.029,-0.344
Souza,Livinha Souza,Ashley Yoder,1,1,-1,--,--,1,1,1,--,--,1,1,-1,--,--,0.412,"['29', '28', '30', '27', '29', '28']",0.616,-0.424,-0.666
Kamaka III,Kai Kamaka III,Tony Kelley,1,-1,1,--,--,1,1,-1,--,--,1,-1,1,--,--,0.778,"['29', '28', '29', '28', '29', '28']",1.055,0.218,-0.418
Weidman,Chris Weidman,Omari Akhmedov,1,-1,2,--,--,1,-1,1,--,--,1,-1,2,--,--,1.0,"['29', '27', '29', '28', '29', '27']",0.808,-0.928,1.398
Santos,Yana Santos,Julija Stoliarenko,1,2,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '26', '30', '27', '30', '27']",1.0,1.355,1.065
Means,Tim Means,Laureano Staropoli,-1,1,1,--,--,1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '30', '27', '29', '28']",-0.237,1.026,0.894
Haqparast,Nasrat Haqparast,Alexander Munoz,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Zalal,Youssef Zalal,Peter Barrett,1,2,1,--,--,1,2,1,--,--,1,1,1,--,--,1.0,"['30', '26', '30', '26', '30', '27']"
Rivera,Irwin Rivera,Ali Al Qaisi,-1,1,1,--,--,-1,-1,1,--,--,-1,1,1,--,--,0.643,"['29', '28', '28', '29', '29', '28']",-0.8,-0.18,0.88
Green,Bobby Green,Lando Vannata,1,1,1,--,--,1,1,1,--,--,1,1,2,--,--,1.0,"['30', '27', '30', '27', '30', '26']",0.683,0.756,1.073
Maness,Nate Maness,Johnny Munoz,-1,1,2,--,--,-1,1,2,--,--,-1,1,2,--,--,0.4,"['29', '27', '29', '27', '29', '27']",-1.218,0.247,1.164
Emmers,Jamall Emmers,Vince Cachero,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
DRAW,Chris Gutierrez,Cody Durden,-2,1,1,--,--,-2,1,1,--,--,-2,1,1,--,--,0.471,"['28', '28', '28', '28', '28', '28']",-1.551,-1.011,-1.169
Whittaker,Robert Whittaker,Darren Till,-1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,-1,1,0.5,"['48', '47', '48', '47', '48', '47']",-0.964,1.026,0.871,-0.171,0.037
Rua,Mauricio Rua,Antônio Rogério Nogueira,-1,1,1,--,--,-1,-1,1,--,--,1,-1,1,--,--,0.529,"['29', '28', '28', '29', '29', '28']",-0.24,-0.71,0.89
Esparza,Carla Esparza,Marina Rodriguez,1,-1,1,--,--,-1,-1,1,--,--,1,1,1,--,--,0.5,"['29', '28', '28', '29', '30', '27']",-0.521,-0.375,0.894
Oliveira,Alex Oliveira,Peter Sobotta,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",0.894,0.973,0.948
Evloev,Movsar Evloev,Mike Grundy,1,1,1,--,--,-1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']",-0.684,0.973,0.79
Kianzad,Pannie Kianzad,Bethe Correia,1,1,1,--,--,1,-1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']",1.0,0.258,0.942
Emeev,Ramazan Emeev,Niklas Stolze,1,1,1,--,--,1,1,1,--,--,-1,1,1,--,--,1.0,"['30', '27', '30', '27', '29', '28']",0.512,1.0,0.902
Wood,Nathaniel Wood,John Castaneda,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Fiziev,Rafael Fiziev,Marc Diakiese,1,1,-1,--,--,1,1,1,--,--,1,1,-1,--,--,1.0,"['29', '28', '30', '27', '29', '28']",0.974,0.844,-0.194
Dawson,Grant Dawson,Nad Narimani,1,2,-1,--,--,1,2,1,--,--,1,1,1,--,--,1.0,"['29', '27', '30', '26', '30', '27']",1.108,1.568,0.811
Johns,Brett Johns,Montel Jackson,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",-0.983,0.733,0.817
Tsarukyan,Arman Tsarukyan,Davi Ramos,1,-1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']",1.0,0.857,0.96
Spivak,Sergey Spivak,Carlos Felipe,1,-1,2,--,--,-1,-1,2,--,--,-1,1,2,--,--,1.0,"['29', '27', '28', '28', '29', '27']",0.344,0.262,1.885
Kattar,Calvin Kattar,Dan Ige,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,1.0,"['49', '46', '49', '46', '48', '47']",0.95,-0.822,0.577,0.934,0.976
Elliott,Tim Elliott,Ryan Benoit,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.333,"['29', '28', '29', '28', '29', '28']",-0.292,-0.162,0.146
Rivera,Jimmie Rivera,Cody Stamann,1,-1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']",0.973,0.474,0.948
Santos,Taila Santos,Molly McCann,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Lazzez,Mounir Lazzez,Abdul Razak Alhassan,1,1,1,--,--,-1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '29', '28', '30', '27']",0.162,1.048,0.806
Gordon,Jared Gordon,Chris Fishgold,1,1,2,--,--,1,1,2,--,--,1,1,2,--,--,1.0,"['30', '26', '30', '26', '30', '26']",0.902,1.29,1.903
Usman,Kamaru Usman,Jorge Masvidal,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1.0,"['50', '45', '50', '45', '49', '46']",-0.565,0.859,0.932,0.943,0.924
Volkanovski,Alexander Volkanovski,Max Holloway,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,0.333,"['48', '47', '47', '48', '48', '47']",-0.999,-0.995,0.122,0.736,0.658
Namajunas,Rose Namajunas,Jessica Andrade,-1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['28', '29', '29', '28', '29', '28']",0.888,0.873,-1.001
Salikhov,Muslim Salikhov,Elizeu Zaleski dos Santos,1,1,1,--,--,-1,-1,1,--,--,-1,1,1,--,--,0.125,"['30', '27', '28', '29', '29', '28']",-0.903,-0.547,0.349
Santos,Leonardo Santos,Roman Bogatov,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['29', '26', '29', '26', '29', '26']",0.941,1.249,0.108
Tybura,Marcin Tybura,Maxim Grishin,1,1,1,--,--,1,1,2,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '26', '30', '27']",0.872,0.898,1.179
Paiva,Raulian Paiva,Zhalgas Zhumagulov,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.2,"['29', '28', '29', '28', '29', '28']",0.807,-0.893,-0.671
Rosa,Karol Rosa,Vanessa Melo,1,2,1,--,--,1,2,-1,--,--,1,2,1,--,--,1.0,"['30', '26', '29', '27', '30', '26']",1.048,1.738,0.69
Poirier,Dustin Poirier,Dan Hooker,-1,-1,1,1,1,-1,-1,1,2,1,-1,-1,1,1,1,1.0,"['48', '47', '48', '46', '48', '47']",-0.73,-0.824,0.647,1.01,1.014
Perry,Mike Perry,Mickey Gall,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",0.238,1.008,1.018
Allen,Brendan Allen,Kyle Daukaus,2,1,-1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,"['29', '27', '29', '28', '30', '27']",1.013,0.963,-1.05
Zalal,Youssef Zalal,Jordan Griffin,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.929,"['29', '28', '29', '28', '29', '28']",-0.674,0.674,0.906
Blaydes,Curtis Blaydes,Alexander Volkov,1,1,1,1,-1,1,1,1,-1,-1,2,1,1,-1,-1,1.0,"['49', '46', '48', '47', '48', '46']",1.338,1.211,0.955,-0.215,-0.43
Emmett,Josh Emmett,Shane Burgos,1,-1,2,--,--,1,-1,1,--,--,1,-1,1,--,--,0.8,"['29', '27', '29', '28', '29', '28']",0.149,-0.765,1.626
