Winner,Opponent_A,Opponent_B,Rd1A,Rd2A,Rd3A,Rd4A,Rd5A,Rd1B,Rd2B,Rd3B,Rd4B,Rd5B,Rd1C,Rd2C,Rd3C,Rd4C,Rd5C,Media_score_ratio_of_agreement,Full_Scores,Rd1_Fans,Rd2_Fans,Rd3_Fans,Rd4_Fans,Rd5_Fans
Zellhuber,Daniel Zellhuber,Lando Vannata,1,1,1,--,--,2,-1,1,--,--,1,-1,1,--,--,1.0,"['30', '27', '29', '27', '29', '28']",1.76,-0.96,0.4
Bolanos,Gaston Bolanos,Aaron Phillips,1,-1,1,--,--,1,1,1,--,--,1,1,1,--,--,0.667,"['29', '28', '30', '27', '30', '27']",0.975,-0.075,-0.15
Edwards,Joselyne Edwards,Lucie Pudilova,1,-1,-1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.0,"['28', '29', '29', '28', '29', '28']",-0.656,-0.956,0.201
Burns,Gilbert Burns,Jorge Masvidal,-1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']",0.5,1.001,1.063
Rodriguez,Christian Rodriguez,Raul Rosas Jr.,-1,1,2,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,"['29', '27', '29', '28', '29', '28']",-1.066,1.009,1.388
Gastelum,Kelvin Gastelum,Chris Curtis,1,1,-1,--,--,1,1,-1,--,--,1,1,1,--,--,0.81,"['29', '28', '29', '28', '30', '27']",0.92,0.296,-0.84
Pinheiro,Luana Pinheiro,Michelle Waterson-Gomez,1,-1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.294,"['28', '29', '29', '28', '29', '28']",-0.226,0.236,-0.86
Godinez,Lupita Godinez,Cynthia Calvillo,1,-1,-1,--,--,1,1,-1,--,--,1,1,1,--,--,0.857,"['28', '29', '29', '28', '30', '27']",0.494,0.373,-0.213
Bahamondes,Ignacio Bahamondes,Trey Ogden,1,-1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['29', '28', '30', '27', '30', '27']",1.0,0.854,1.0
Hughes,Sam Hughes,Jaqueline Amorim,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.864,"['29', '28', '29', '28', '29', '28']",-1.38,1.0,1.16
