Number_of_Rounds,Opponent_A_Wins,Method,Opponent_A,Total_Strikes_Attempted_(A),Round_1_Sig_Strikes_Attempted_(A),Round_1_Sig_Strikes_Landed_(A),Round_1_KD_(A),Round_1_TD_(A),Round_1_Sub_Attempts_(A),Round_1_Ctrl_Time_(A),Round_1_Head_Strikes_(A),Round_2_Sig_Strikes_Attempted_(A),Round_2_Sig_Strikes_Landed_(A),Round_2_KD_(A),Round_2_TD_(A),Round_2_Sub_Attempts_(A),Round_2_Ctrl_Time_(A),Round_2_Head_Strikes_(A),Round_3_Sig_Strikes_Attempted_(A),Round_3_Sig_Strikes_Landed_(A),Round_3_KD_(A),Round_3_TD_(A),Round_3_Sub_Attempts_(A),Round_3_Ctrl_Time_(A),Round_3_Head_Strikes_(A),Round_4_Sig_Strikes_Attempted_(A),Round_4_Sig_Strikes_Landed_(A),Round_4_KD_(A),Round_4_TD_(A),Round_4_Sub_Attempts_(A),Round_4_Ctrl_Time_(A),Round_4_Head_Strikes_(A),Round_5_Sig_Strikes_Attempted_(A),Round_5_Sig_Strikes_Landed_(A),Round_5_KD_(A),Round_5_TD_(A),Round_5_Sub_Attempts_(A),Round_5_Ctrl_Time_(A),Round_5_Head_Strikes_(A),Opponent_B,Total_Strikes_Attempted_(B),Round_1_Sig_Strikes_Attempted_(B),Round_1_Sig_Strikes_Landed_(B),Round_1_KD_(B),Round_1_TD_(B),Round_1_Sub_Attempts_(B),Round_1_Ctrl_Time_(B),Round_1_Head_Strikes_(B),Round_2_Sig_Strikes_Attempted_(B),Round_2_Sig_Strikes_Landed_(B),Round_2_KD_(B),Round_2_TD_(B),Round_2_Sub_Attempts_(B),Round_2_Ctrl_Time_(B),Round_2_Head_Strikes_(B),Round_3_Sig_Strikes_Attempted_(B),Round_3_Sig_Strikes_Landed_(B),Round_3_KD_(B),Round_3_TD_(B),Round_3_Sub_Attempts_(B),Round_3_Ctrl_Time_(B),Round_3_Head_Strikes_(B),Round_4_Sig_Strikes_Attempted_(B),Round_4_Sig_Strikes_Landed_(B),Round_4_KD_(B),Round_4_TD_(B),Round_4_Sub_Attempts_(B),Round_4_Ctrl_Time_(B),Round_4_Head_Strikes_(B),Round_5_Sig_Strikes_Attempted_(B),Round_5_Sig_Strikes_Landed_(B),Round_5_KD_(B),Round_5_TD_(B),Round_5_Sub_Attempts_(B),Round_5_Ctrl_Time_(B),Round_5_Head_Strikes_(B),Decision1,Decision2,Decision3,Winner,Opponent_A_dec,Rd1A,Rd2A,Rd3A,Rd4A,Rd5A,Rd1B,Rd2B,Rd3B,Rd4B,Rd5B,Rd1C,Rd2C,Rd3C,Rd4C,Rd5C,Media score ratio of agreement,Rd1 Fans,Rd2 Fans,Rd3 Fans,Rd4 Fans,Rd5 Fans
5,1,2,Joanna Jedrzejczyk,448,40,19,0,0,0,2:12,6,99,44,0,0,0,0:37,17,85,47,0,0,0,0:17,18,108,53,0,0,0,0:00,24,109,57,0,0,0,0:00,32,Valerie Letourneau,341,27,11,0,1,0,0:22,9,64,25,0,0,0,0:00,18,62,21,0,0,0,0:14,15,80,21,0,0,0,0:00,12,88,25,0,0,0,0:00,18,46 49,46 49,45 50,Jedrzejczyk,Joanna Jedrzejczyk,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1.0,-0.319,0.586,1.043,1.032,0.915
3,0,2,Uriah Hall,107,16,9,0,0,0,0:12,3,34,18,0,0,0,0:00,4,44,18,0,0,0,0:38,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Robert Whittaker,186,49,25,0,1,0,2:20,14,52,20,0,0,0,0:24,8,43,22,0,0,0,1:59,17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,28 29,Whittaker,Robert Whittaker,1,1,1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,0.948,0.759,0.518,nan,nan
3,0,2,Stefan Struve,59,8,5,0,0,0,0:00,1,19,10,0,0,0,0:00,8,31,18,0,1,0,0:19,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Jared Rosholt,59,18,10,0,1,0,2:46,3,7,2,0,2,0,3:10,1,12,4,0,1,0,0:47,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,28 29,Rosholt,Jared Rosholt,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,nan,nan,nan,nan,nan
3,0,2,Richie Vaculik,176,51,20,0,1,0,0:25,14,65,28,0,1,0,0:06,16,40,15,0,1,0,0:13,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Danny Martinez,213,53,12,0,3,0,2:31,8,84,34,0,2,0,1:47,25,34,8,0,4,0,3:30,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,27 30,Martinez,Danny Martinez,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,nan,nan,nan,nan,nan
3,1,2,Richard Walsh,214,63,34,0,0,0,0:06,17,53,34,0,0,0,1:29,28,54,25,0,0,0,2:53,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Steve Kennedy,128,34,10,0,2,0,2:22,10,31,13,0,1,0,2:01,11,37,15,0,0,0,0:00,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,28 29,Walsh,Rich Walsh,1,1,1,--,--,1,1,1,--,--,-1,1,1,--,--,1.0,nan,nan,nan,nan,nan
3,0,2,Gilbert Burns,78,27,11,0,2,0,1:08,6,27,8,0,0,0,0:38,3,23,9,0,0,0,0:19,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Rashid Magomedov,160,39,19,0,0,0,0:02,14,56,37,1,1,0,0:33,29,50,24,1,1,0,0:34,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,27 30,Magomedov,Rashid Magomedov,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,nan,nan,nan,nan,nan
3,0,2,Fabio Maldonado,78,21,8,0,0,0,0:00,4,20,13,0,0,0,0:00,8,13,5,0,0,0,0:00,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Corey Anderson,185,67,29,0,2,0,2:22,19,25,13,0,2,0,3:49,8,42,18,0,2,0,2:21,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,27 30,Anderson,Corey Anderson,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,nan,nan,nan,nan,nan
3,0,2,Yan Cabral,79,15,9,0,2,0,2:07,5,40,19,0,0,0,0:00,15,10,3,0,1,0,3:05,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Johnny Case,177,40,14,0,0,0,0:34,8,89,43,1,0,0,0:38,22,30,17,0,0,0,1:08,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,28 29,Case,Johnny Case,-1,1,1,--,--,1,1,-1,--,--,-1,1,1,--,--,0.6,nan,nan,nan,nan,nan
3,1,2,Viscardi Andrade,186,38,17,0,0,0,0:00,6,77,34,0,0,0,0:00,21,68,27,0,0,0,0:02,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Gasan Umalatov,107,16,6,0,0,0,0:04,2,33,12,0,0,0,0:03,10,53,20,0,0,0,0:34,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,28 29,Andrade,Viscardi Andrade,1,1,1,--,--,1,1,1,--,--,1,-1,1,--,--,1.0,nan,nan,nan,nan,nan
3,0,3,Pedro Munhoz,184,52,16,0,0,0,0:00,6,60,23,0,0,0,0:04,8,71,27,0,0,0,0:05,17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Jimmie Rivera,235,88,35,0,0,0,0:00,25,69,33,0,0,0,0:09,25,76,28,0,0,0,0:00,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,29 28,28 29,Rivera,Jimmie Rivera,1,1,-1,--,--,1,-1,-1,--,--,1,-1,1,--,--,1.0,nan,nan,nan,nan,nan
